Title: Primitive mantle composition from McDonough & Sun (1995),

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O Mg#
17265.20 1614.28 4.493615 13.384927 -51748.421059 1.634083 7.132406 0.767 45.1929 0.877301 15.9872 0.798053 0.0810097 7.82472 13.4188 7.95698 4.96994 0.64536 0.46733 1.7803 75.3
16972.10 1613.98 4.667667 13.874072 -53852.586215 1.696739 7.403417 0.796 45.3508 0.880164 16.0172 0.799615 0.0801592 7.78206 13.384 8.05015 4.87067 0.621295 0.449904 1.71392 75.4
16679.00 1613.68 4.854367 14.398255 -56109.992123 1.763926 7.694114 0.825 45.5071 0.882953 16.0454 0.801255 0.0793059 7.74048 13.3504 8.1472 4.76798 0.5974 0.4326 1.648 75.4
16385.90 1613.38 5.055005 14.961023 -58536.308968 1.836105 8.006503 0.853 45.6616 0.885651 16.0716 0.802976 0.0784539 7.69995 13.3179 8.2483 4.66186 0.573689 0.41543 1.58259 75.5
16092.80 1613.07 5.270444 15.564683 -61142.552475 1.913598 8.341916 0.882 45.8146 0.888212 16.096 0.804761 0.0776097 7.66011 13.2861 8.35331 4.55264 0.550238 0.398448 1.5179 75.5
15799.70 1612.77 5.503484 16.217080 -63961.804534 1.997387 8.704740 0.910 45.9657 0.89065 16.1179 0.806654 0.0767762 7.62152 13.256 8.46299 4.43967 0.526939 0.381576 1.45362 75.6
15506.70 1612.47 5.755346 16.921499 -67009.447595 2.087921 9.096863 0.939 46.1148 0.892908 16.1376 0.808635 0.0759619 7.5838 13.227 8.57716 4.32333 0.503879 0.364878 1.39001 75.6
15213.70 1612.16 6.027525 17.681973 -70304.275566 2.185750 9.520594 0.967 46.2625 0.894931 16.155 0.810684 0.0751753 7.54654 13.1987 8.69569 4.20397 0.481126 0.348402 1.32724 75.7
14920.70 1611.86 6.323840 18.509164 -73891.754847 2.292223 9.981913 0.996 46.4082 0.896707 16.1696 0.812843 0.0744234 7.51023 13.1719 8.81936 4.08097 0.458582 0.332077 1.26505 75.7
14627.70 1611.56 6.646394 19.408773 -77798.143141 2.408110 10.484076 1.024 46.5524 0.89816 16.1814 0.815085 0.0737182 7.47439 13.1461 8.948 3.95476 0.436327 0.315961 1.20366 75.8
14334.70 1611.26 6.998358 20.389518 -82062.245354 2.534554 11.032019 1.052 46.6953 0.899224 16.1901 0.817407 0.0730724 7.43884 13.1213 9.08172 3.82544 0.414383 0.30007 1.14313 75.8
14041.70 1610.95 7.382399 21.458624 -86717.428931 2.672536 11.629868 1.080 46.8374 0.899813 16.1958 0.819778 0.0725011 7.40308 13.0969 9.22028 3.69351 0.392826 0.28446 1.08366 75.9
13748.80 1610.65 7.804341 22.632280 -91833.735085 2.824130 12.286726 1.108 46.9786 0.89986 16.1976 0.822228 0.0720219 7.36739 13.0737 9.36438 3.55852 0.371588 0.269081 1.02507 76.0
13455.90 1610.35 8.268144 23.921270 -97460.503546 2.990790 13.008728 1.135 47.1197 0.899252 16.1954 0.82472 0.0716565 7.33117 13.0511 9.51376 3.42101 0.350744 0.253987 0.967569 76.0
13162.90 1610.05 8.779351 25.340827 -103665.967191 3.174531 13.804493 1.163 47.2613 0.897872 16.1888 0.827237 0.0714304 7.294 13.0289 9.66845 3.2812 0.330321 0.239198 0.911229 76.1
12870.10 1609.74 9.342067 26.902084 -110501.902969 3.376880 14.680367 1.191 47.4046 0.895592 16.1776 0.82973 0.0713735 7.25524 13.0065 9.82784 3.13997 0.310424 0.22479 0.856342 76.1
