Title: Sanloup as cited by Taylor et al. (2014)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
67933.90 2053.58 100.039901 0.0956554474069960 0.104406 278.273440 -932765.276572 29.653329 -4.772472 652.329842 124.589198 -3.612 0.000 3.090893 3.406611 -0.768 0 0.000
67637.90 2053.06 100.040153 0.0975248921668770 0.106311 278.356447 -933477.789508 29.666512 -4.521085 646.493680 124.679837 -3.615 0.000 3.093465 3.405310 -0.771 0 0.000
67341.90 2052.54 100.040409 0.0994484988710677 0.108269 278.441461 -934186.703723 29.679836 -4.264363 640.508986 124.772457 -3.618 0.000 3.096063 3.403991 -0.774 0 0.000
67046.00 2052.01 100.040669 0.1014192163126358 0.110271 278.527466 -934893.799056 29.693252 -4.003657 634.419906 124.866736 -3.621 0.000 3.098683 3.402658 -0.777 0 0.000
66750.00 2051.49 100.040935 0.1034554318282138 0.112338 278.616621 -935595.281550 29.706864 -3.736133 628.134500 124.963486 -3.624 0.000 3.101330 3.401301 -0.780 0 0.000
66454.10 2050.97 100.041205 0.1055494526061711 0.114460 278.707869 -936292.718880 29.720619 -3.463250 621.699604 125.062353 -3.627 0.000 3.103999 3.399926 -0.782 0 0.000
66158.20 2050.44 100.041479 0.1076950547835202 0.116632 278.800254 -936988.366683 29.734472 -3.186284 615.157525 125.163062 -3.630 0.000 3.106688 3.398533 -0.785 0 0.000
65862.30 2049.92 100.041759 0.1099103719746665 0.118872 278.895894 -937677.919850 29.748523 -2.902462 608.417661 125.266402 -3.633 0.000 3.109399 3.397117 -0.788 0 0.000
65566.40 2049.40 100.042044 0.1121885207931102 0.121172 278.993790 -938363.424104 29.762724 -2.613174 601.525208 125.372066 -3.636 0.000 3.112129 3.395678 -0.790 0 0.000
65270.50 2048.87 100.042334 0.1145214891029582 0.123523 279.092895 -939047.020732 29.777022 -2.319982 594.529888 125.479704 -3.639 0.000 3.114875 3.394222 -0.793 0 0.000
64974.70 2048.35 100.042630 0.1169277970224161 0.125946 279.195327 -939724.107726 29.791515 -2.020090 587.340293 125.590115 -3.642 0.000 3.117640 3.392739 -0.795 0 0.000
64678.90 2047.82 100.042932 0.1193905907421240 0.128422 279.298991 -940399.258217 29.806101 -1.716542 580.054092 125.702570 -3.646 0.000 3.120418 3.391237 -0.798 0 0.000
64383.10 2047.30 100.043240 0.1219302997113284 0.130972 279.406097 -941067.988539 29.820887 -1.406321 572.573948 125.817951 -3.649 0.000 3.123212 3.389708 -0.800 0 0.000
64087.30 2046.78 100.043555 0.1245381937322832 0.133586 279.515563 -941732.506963 29.835815 -1.091142 564.953620 125.935880 -3.652 0.000 3.126019 3.388154 -0.802 0 0.000
63791.50 2046.25 100.043875 0.1272041877988791 0.136255 279.626252 -942395.133125 29.850825 -0.772913 557.252002 126.055931 -3.655 0.000 3.128836 3.386580 -0.805 0 0.000
63495.70 2045.73 100.044202 0.1299500636746031 0.139000 279.740427 -943051.279764 29.866027 -0.448488 549.368178 126.179039 -3.658 0.000 3.131665 3.384976 -0.807 0 0.000
63200.00 2045.20 100.044534 0.1327531061637932 0.141798 279.855720 -943705.461805 29.881293 -0.121745 541.421780 126.304238 -3.661 0.000 3.134500 3.383353 -0.809 0 0.000
62904.20 2044.68 100.044875 0.1356382686520891 0.144674 279.974549 -944353.383702 29.896749 0.210819 533.302383 126.432602 -3.664 0.000 3.137346 3.381698 -0.811 0 0.000
62608.50 2044.16 100.045222 0.1385920117601169 0.147614 280.095607 -944997.104065 29.912315 0.546806 525.081644 126.563558 -3.667 0.000 3.140197 3.380017 -0.813 0 0.000
62312.80 2043.63 100.045575 0.1416027742644358 0.150606 280.217707 -945639.336155 29.927927 0.884048 516.825386 126.696631 -3.670 0.000 3.143050 3.378316 -0.815 0 0.000
62017.10 2043.11 100.045936 0.1446944660026932 0.153674 280.343196 -946275.330911 29.943701 1.225862 508.427689 126.832844 -3.673 0.000 3.145909 3.376583 -0.817 0 0.000
61721.50 2042.58 100.046302 0.1478397969267195 0.156790 280.469523 -946909.964007 29.959495 1.567756 500.024590 126.971056 -3.676 0.000 3.148767 3.374830 -0.819 0 0.000
61425.80 2042.06 100.046677 0.1510660699512000 0.159981 280.599194 -947538.765690 29.975438 1.913404 491.500610 127.112439 -3.679 0.000 3.151627 3.373044 -0.821 0 0.000
61130.20 2041.53 100.047057 0.1543427752733370 0.163217 280.729519 -948166.587594 29.991375 2.257930 483.002021 127.255719 -3.682 0.000 3.154484 3.371239 -0.823 0 0.000
60834.50 2041.01 100.047445 0.1576981098224994 0.166526 280.863039 -948788.893703 30.007440 2.605061 474.411633 127.402108 -3.685 0.000 3.157339 3.369402 -0.824 0 0.000
