'Ocean concentrations in mol/(kg H2O)'
'Time (Gyr)' 	 'Mocean (kg)' 	 'Mriver (kg)' 	 'Seafloor weathering volume (m3)' 	 'Ocean pH' 	 'Seawater-seafloor equil pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Ox C(aq)' 	 'Red C(aq)' 	 Mg(aq) 	 Ca(aq) 	 Fe(aq) 	 Si(aq) 	 Na(aq) 	 S(aq) 	 Cl(aq)
1.871 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.881 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.891 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.901 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.911 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.921 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.931 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.941 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.951 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.961 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.971 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.981 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.991 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.001 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.011 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.021 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.031 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.041 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.051 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
2.061 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
